source	target	value
2	1	0.002885875
3	2	0.002885875
4	3	0.00575
5	4	0.00575
6	5	0.008634625
0	6	0.010296375
8	7	0.00186625
9	8	0.016128125
10	9	0.286546125
11	10	0.458497124999999
12	11	0.459340374999999
0	12	0.479473499999999
14	13	0.001266
15	14	0.001908125
10	15	0.035247625
18	17	0.002488
19	18	0.006373375
20	19	0.006559625
21	20	0.006559625
22	21	0.006559625
16	22	0.006659375
8	23	0.00244825
25	24	0.0007225
26	25	0.00094525
27	26	0.00094525
28	27	0.00117375
12	28	0.002352
30	29	0.00023375
31	30	0.001202125
10	31	0.076297125
33	32	0.00068575
10	33	0.008126875
8	34	0.000501625
25	35	0.00022275
30	36	0.00025425
8	37	0.00028375
14	38	0.000337125
8	39	0.00020525
30	40	0.000173875
